Recettes,Ingrédients
Magret de canard à l’orange et haricots verts (pour bébé et la famille).html,"['1  magret de canard', '300 g haricots verts', '6 à 8  pomme(s) de terre', '1  orange(s)', '1 c. à soupe miel', '1 c. à soupe vinaigre', '1 c. à café huile(s) végétale(s)', '  sel, poivre']"
Mini-courges farcies aux poireaux et champignons.html,"['5  courges Jack be little', '250 g champignons', '1  poireau(x)', '1  salade verte', '50 g riz', '3 c. à soupe crème fraîche', '30 g comté', '1 c. à soupe huile(s) végétale(s)', '  sel, poivre']"
Mon premier gâteau d’anniversaire (poisson marbré).html,"['1  yaourt nature', '1 pot(s) sucre', '1 pot(s) compote de pommes', '2  oeuf(s)', '3 pot(s) farine', '1 c. à soupe cacao en poudre', '1 sachet(s) poudre à lever', '½ pot(s) huile(s) végétale(s)', '1  poire(s)', '1  petit-suisse']"
Moussaka (pour bébé et toute la famille).html,"['3  aubergine(s)', '1  oignon(s)', '250 g coulis de tomates', '125 g boeuf haché', '30 g parmesan', '1 c. à soupe farine', '2 c. à soupe huile d’olive', '200 mL lait', '1 pincée(s) muscade moulue', '1 c. à café herbes de Provence']"
Moussaka végétarienne.html,"['2  aubergine(s)', '500 g pomme(s) de terre', '300 g tomates', '½  oignon(s)', '1 gousse ail', '250 g lentilles', '  herbes de Provence', ""2 c. à soupe huile d'olive"", '25 g farine', '250 mL lait', '  muscade moulue']"
Mousse de betterave au mascarpone (Recette de Noël).html,"['250 g betterave(s)', '125 g mascarpone', '1  citron(s)', '  huile d’olive']"
Mousse de courgettes (pour bébé et toute la famille).html,"['800 g courgette(s)', '4  oeuf(s)', '20 cL crème fraîche', '50 g farine', '1 c. à café herbes aromatiques']"
Muesli pour toute la famille.html,"[""500 g flocons d'avoine"", '300 g compote de pommes', '3 c. à soupe noix de coco râpée', '1 c. à soupe fécule de maïs', '100 g amandes', '100 g noisettes']"
Muffins au panais et romarin.html,"['250 g panais', '3  oeuf(s)', '100 g farine', '50 g fromage râpé', '½ sachet(s) poudre à lever', '  romarin', '  salade verte', '3  carotte(s)', '½  citron', '  huile(s) végétale(s)']"
Muffins aux épinards à la farine de pois chiches.html,"['200 g épinards', '100 g farine de blé', '100 g farine de pois chiches', '2  oeuf(s)', '150 mL lait', '50 g huile d’olive', '½ sachet(s) poudre à lever', '250 g carotte(s)', '1  orange(s)', '  huile(s) végétale(s)']"
Mug cake fondant au chocolat.html,"['6 carré(s) chocolat noir', '15 g beurre', '1 c. à soupe sucre', '1 c. à soupe farine', '30 mL lait', '1  oeuf(s)']"
Médaillons de lotte crème de panais et légumes-racines rôtis (Recette de Noël).html,"['2  panais', '3  carotte(s)', '1  patate(s) douce(s)', '200 g lotte', '100 mL lait', '1 c. à café herbes aromatiques', '1 gousse(s) ail', '1 c. à soupe farine', '2 c. à soupe huile d’olive', '20 g beurre', '1  citron(s)']"
Noix de Saint Jacques à la fondue de poireaux (pour bébé et toute la famille).html,"['8 à 10  noix de Saint Jacques', '500 g poireau(x)', '350 g pomme(s) de terre', '20 cL crème', '1  clémentine(s)', '2 c. à soupe huile d’olive', '  sel, poivre']"
Nouilles sautées au brocoli (pour bébé et toute la famille).html,"['1  brocoli', '2  carotte(s)', '1  oignon(s)', '150 g nouilles Soba', '2 c. à soupe huile de sésame', '1 c. à soupe sauce soja', '1 c. à soupe graines de sésame', '  gingembre', '  herbes aromatiques']"
"Nuggets de chou-fleur et salade de mâche, patate douce, avocat et pamplemousse.html","['600 g chou-fleur', '150 g farine', '200 mL lait', '1 c. à soupe coulis de tomates', '1 c. à café paprika', '  poivre', '300 g patate(s) douce(s)', '60 g mâche', '1  pamplemousse', '1  avocat', '  huile(s) végétale(s)']"
Number cake d’anniversaire pour bébé.html,"[""160 g poudre d'amandes"", '80 g sucre glace', '4 blanc(s) oeuf(s)', '20 cL crème liquide', '125 g mascarpone', '1 gousse vanille', '  fruits frais de saison']"
Palets de légumes (pour bébé et toute la famille).html,"['250 g carotte(s)', '250 g courgette(s)', '250 g petits pois', '1 petit(s) oignon(s)', '1  oeuf(s)', '25 g fécule de maïs', '2 c. à soupe  huile d’olive', '1 bouquet basilic']"
Parmentier aux haricots blancs et navets.html,"['400 g pomme(s) de terre', '250 g navet(s)', '200 g carotte(s)', '150 g haricots blancs', '20 cL coulis de tomates', '1 petit oignon', '1 gousse ail', '  herbes aromatiques', '  emmental râpé', '  huile d’olive']"
Patate douce rôtie et haricots verts.html,"['400 g patate(s) douce(s)', '300 g haricots verts', '1 gousse ail', '2 c. à soupe huile d’olive', '  paprika']"
Patates douces farcies à la mexicaine.html,"['2  patate(s) douce(s)', '1  salade verte', '250 g haricots rouges', '100 g fromage blanc', '1  oignon(s)', '3 c. à soupe maïs', ""1 c. à soupe huile d'olive"", '1 c. à café cumin', '1 c. à café paprika', '1 c. à café origan', '  persil', '  sel, poivre']"
Paupiettes de chou végétariennes.html,"['500 g chou vert', '150 g carotte(s)', '100 g haricots blancs', '50 g riz', '  huile d’olive']"
Paëlla (pour bébé et toute la famille).html,"['300 g riz', '100 g chorizo', '150 g crevettes', '  en option : autres fruits de mer au choix', '2  poivron(s) rouge(s)', '3  tomate(s)', '250 g petits pois', '1  oignon(s)', '1 gousse(s) ail', '2 c. à soupe huile d’olive', '½  citron(s)', '1 pincée paprika', '1 pincée curcuma', '1 pincée safran', '1  feuille(s) de laurier', '1 branche(s) thym', '  sel, poivre']"
Pissaladière au fenouil (pour bébé et toute la famille).html,"['1  pâte brisée', '3 à 4 bulbe(s) fenouil', '5 filets anchois', '1  oignon(s)', '1 gousse(s) ail', '50 g olives noires', '1 c. à café herbes de Provence', '4 c. à soupe huile d’olive', '1 petite pomme de terre']"
Pizza aux légumes (pour bébé et toute la famille).html,"['1  pâte à pizza', '200 g coulis de tomates', '100 g tomates cerises', '1  aubergine(s)', '1  mozzarella', '  origan', '  huile d’olive']"
Pizza aux poivrons et maïs.html,"['300 g farine', '½ sachet(s) levure boulangère', ""3 c. à soupe huile d'olive"", '1 c. à café sucre', '1 pincée sel', '200 mL eau', '20 cL coulis de tomates', '2  poivron(s)', '140 g maïs', '½  bûche de fromage de chèvre', '  herbes de Provence']"
Pizza de chou-fleur (pour bébé et toute la famille).html,"['500 g chou-fleur', '50 g fromage râpé', '1  oeuf(s)', '200 g champignons de Paris', '200 g coulis de tomates', '1 poignée(s) olives noires', '1  mozzarella', '  origan', '  huile d’olive', '1 boîte anchois', '1 petite pomme(s) de terre']"
Pizza lion à la carotte.html,"['1  pâte à pizza', '250 g carotte(s)', '10 cL coulis de tomates', '  fromage râpé', '  basilic', '1  tomates cerises', '1  haricots rouges', '1  champignon']"
Pizza verde à la courgette.html,"['450 g courgette(s)', '1 bouquet basilic', '1 gousse ail', '15 g pignons de pin', '25 g parmesan', '1  mozzarella', ""1 c. à soupe huile d'olive"", '300 g farine', '½ sachet(s) levure boulangère', '1 c. à café sucre', '200 mL eau', ""3 c. à soupe huile d'olive"", '1 pincée sel']"
Poireaux et haricots blancs en cocotte.html,"['400 g haricots blancs', '3  poireau(x)', '100 g champignons', '1  carotte(s)', '1 gousse(s) ail', '1  feuille(s) de laurier', '1 branche(s) thym', '1 c. à soupe huile(s) végétale(s)', '1 c. à café concentré de tomates', '  sel, poivre']"
Poires infusées au sirop de clémentines et épices (pour bébé et toute la famille).html,"['3  poire(s)', '2  clémentine(s)', '1 c. à café épices', '2 c. à soupe sucre de canne']"
"Poke bowl au riz, chou-rouge, céleri et potiron rôti, avocat.html","['150 g riz', '150 g chou rouge', '300 g céleri-rave', '300 g potiron', '1  avocat', '  huile d’olive', '  huile de colza', '  sauce soja', '  graines de sésame']"
Polenta aux aubergines rôties.html,"['2  aubergine(s)', '150 g polenta', '250 mL lait', ""  huile d'olive"", '½ cube bouillon cube de légumes']"
Polenta aux carottes et cumin.html,"['150 g polenta', '500 g carotte(s)', '  huile(s) végétale(s)', '  cumin']"
Polenta crémeuse au parmesan et tomates rôties.html,"['300 g tomates cerises', '30 cL lait', '30 cL eau', '100 g polenta', '25 g parmesan', '20 g pignons de pin', ""1 c. à soupe huile d'olive"", '½ c. à café herbes de Provence', '  basilic']"
Polenta crémeuse aux champignons et œuf mollet (pour bébé et toute la famille).html,"['500 g champignons de Paris', '100 g polenta', '3  oeuf(s)', '20 cL crème liquide', '1  oignon(s)', '1 gousse(s) ail', '  persil', '  huile d’olive', '  sel, poivre']"
Polenta crémeuse aux cèpes.html,"['120 g polenta', '50 g cèpes', '½  oignon(s)', '2 c. à soupe huile d’olive']"
Polenta crémeuse et asperges vertes.html,"['1 botte asperge(s) verte(s)', '125 g polenta', '10 cL crème fraîche', '  poivre', '  noisettes', '  huile(s) végétale(s)']"
Polenta et butternut rôti au four.html,"['½  butternut', '150 g polenta', '  huile d’olive', '  cumin']"
Polenta façon pizza familiale (sans gluten).html,"['150 g polenta', '60 cL eau', '20 cL coulis de tomates', '5  champignons de Paris', '2 tranche(s) jambon blanc', '50 g fromage râpé', '1 poignée(s) tomates cerises', '  herbes aromatiques', '  huile d’olive']"
"Potage de patate douce, carottes et haricots rouges au lait de coco.html","['400 g tomates concassées', '300 mL bouillon de légumes', '250 g patate(s) douce(s)', '250 g haricots rouges', '250 mL lait de coco', '2  carotte(s)', '2  oignon(s) nouveau(x)', ""1 c. à soupe huile d'olive"", '1 c. à soupe concentré de tomates', '1 c. à café épices tandoori', '  sel, poivre']"
Potimarron farci aux champignons et aux châtaignes.html,"['1  potimarron', '200 g champignons', '100 g châtaignes', '1  échalote(s)', '1 gousse ail', '2 c. à soupe crème fraîche', ""1 c. à soupe huile d'olive"", '1  salade verte']"
Potimarron rôti aux épices et boulgour.html,"['1  potimarron', '130 g pois chiches', '100 g boulgour', '100 g yaourt grec', '½  citron(s)', ""2 c. à soupe huile d'olive"", '½ c. à café cumin', '½ c. à café paprika', '  herbes aromatiques']"
"Potimarron rôti aux épices, fêta et grenade.html","['1  potimarron', '1  grenade', '100 g feta', '2 c. à soupe huile d’olive', '1 c. à soupe coriandre', '½ c. à café cumin', '½ c. à café paprika']"
Poulet à l’ananas (aigre-doux).html,"['200 g poulet', '1  ananas', '2 grosses carotte(s)', '3  tomate(s)', '1  oignon(s)', '1 gousse(s) ail', '  huile d’olive']"
"Poêlée de brocoli au sésame et sauce soja, mélange de riz et lentilles.html","['1  brocoli', '75 g riz', '75 g lentilles vertes', '  graines de sésame', '  sauce soja', '  huile d’olive', '½  citron(s)']"
Poêlée de carottes aux oignons et raisins secs.html,"['600 g carotte(s)', '150 g quinoa', '1  oignon(s)', '25 g raisins secs', ""2 c. à soupe huile d'olive"", '½ c. à café coriandre moulue', '1 pincée cannelle', '  coriandre', '  sel, poivre']"
Poêlée de légumes aux choux de Bruxelles.html,"['500 g choux de Bruxelles', '2  carotte(s)', '250 g pomme(s) de terre', '1  oignon(s)', '1 gousse(s) ail', ""1 filet huile d'olive"", '  persil', '  sel, poivre']"
Poêlée de légumes aux haricots blancs.html,"['300 g patate(s) douce(s)', '250 g haricots blancs', '100 g chou kale', '1  poireau(x)', '1  poivron(s) rouge(s)', '1 c. à soupe huile(s) végétale(s)', '1 gousse(s) ail', '  sel, poivre']"
Poêlée de pommes de terre et haricots verts.html,"['400 g pomme(s) de terre', '400 g haricots verts', '2 c. à soupe huile(s) végétale(s)', '1 gousse(s) ail', '½ c. à café thym', '  persil']"
"Poêlée de pommes de terre sautées, chou vert, carottes.html","['400 g chou vert', '400 g pomme(s) de terre', '350 g carotte(s)', '1 petit oignon', '1 gousse ail', '  huile d’olive']"
"Poêlée de pommes de terre, courgette et haricots rouges.html","['400 g pomme(s) de terre', '400 g courgette(s)', '150 g tomates cerises', '125 g haricots rouges', ""2 c. à soupe huile d'olive"", '½ c. à café thym', '  persil']"
Poêlée de riz aux côtes de blettes et champignons.html,"['250 g blettes', '250 g champignons', '150 g riz', '1  oignon(s)', '1 gousse ail', '1 c. à soupe huile d’olive', '  persil']"
Purée de carottes à l’orange et ses aiguillettes de canard (Recette de Noël).html,"['200 g aiguillette(s) de canard', '500 g carotte(s)', '2  pomme(s) de terre', '1  orange(s)', '1 c. à soupe vinaigre balsamique', '1 noix beurre', '2 c. à soupe huile de colza']"
Purée de céleri-rave et potiron grillé aux noisettes.html,"['600 g céleri-rave', '500 g potiron', '1 poignée noisettes', '  huile d’olive', '  huile de colza', '  épices']"
Purée de topinambour et sa poêlée de cèpes (Recette de Noël).html,"['500 g cèpes frais', '300 g topinambour(s)', '300 g pomme(s) de terre', '10 feuilles persil', '1 gousse(s) ail', '1 noix beurre', '1 c. à soupe huile d’olive']"
Pâtes au pesto de betterave.html,"['250 g pâtes', '150 g betterave(s)', '50 g fromage frais de chèvre', '½  citron', ""2 c. à soupe huile d'olive"", '1 poignée amandes', '  persil']"
Pâtes au pesto de chou kale.html,"['250 g pâtes', '200 g chou kale', '30 g pignons de pin', ""20 g poudre d'amandes"", '20 g huile d’olive', '2 c. à soupe jus de citron', '1 gousse ail', '  parmesan']"
"Pâtes au pesto de courgette, roquette et basilic.html","['1  courgette(s)', '40 g roquette', '250 g pâtes', '1 bouquet basilic', '1 poignée pignons de pin', '20 g parmesan', ""  huile d'olive""]"
Pâtes au pesto de petits pois et épinards.html,"['200 g pâtes', '150 g petits pois', ""100 g pousses d'épinards"", '30 g parmesan', ""3 c. à soupe huile d'olive"", '1 gousse(s) ail', '  basilic', '  sel, poivre']"
Pâtes aux boulettes de haricots rouges et carottes.html,"['200 g pâtes', ""80 g flocons d'avoine"", '125 g haricots rouges', '300 g carotte(s)', '200 g tomates concassées', '1  oignon(s)', '  cumin', '  huile d’olive']"
Pâtes façon carbonara forestière (pour bébé et toute la famille).html,"['500 g champignons de Paris', '180 g spaghetti', '1  oignon(s)', '3 tranche(s) jambon blanc', '15 cL crème fraîche', '1 c. à soupe huile d’olive', '1 jaune(s) oeuf(s)', '  persil', '1  pomme(s) de terre', '20 g petites pâtes']"
Pâtes ricotta épinards.html,"['300 g épinards', '125 g ricotta', '250 g pâtes', '1 c. à soupe huile(s) végétale(s)', '  pignons de pin']"
Pâtes à la bolognaise (pour bébé et toute la famille).html,"['500 g tomate(s)', '250 g carotte(s)', '2 branche(s) céleri', '1  oignon(s)', '1 gousse(s) ail', '250 g boeuf haché', '250 g pâtes', '1 c. à café herbes de Provence', '2 c. à soupe huile d’olive', '30 g parmesan', '  sel, poivre']"
Pâtes à la bolognaise végétarienne.html,"['400 g tomates concassées', '200 g pâtes', '150 g champignons', '100 g lentilles', '1  carotte(s)', '1  oignon(s)', '1 gousse(s) ail', ""1 c. à soupe huile d'olive"", '½ c. à café origan', '  basilic', '  parmesan']"
Pâtes à la crème de brocoli.html,"['1  brocoli', '250 g pâtes', '70 g parmesan', ""1 c. à soupe huile d'olive"", '1 c. à soupe crème fraîche', '1 gousse(s) ail', '  basilic', '  sel, poivre']"
"Pâtes à la crème de poireaux et ricotta, noisettes concassées.html","['2  poireau(x)', '250 g pâtes', '125 g ricotta', '  noisettes']"
Pâtes à la sauce arrabiata (aux poivrons rouges).html,"['1  poivron(s) rouge(s)', '500 g tomate(s)', '1  oignon(s)', '1 gousse ail', '250 g pâtes', '  basilic', ""  huile d'olive"", '  piment']"
Pâtes à la sauce bolognaise végétarienne (aux haricots rouges).html,"['250 g pâtes', '180 g carotte(s)', '150 g haricots rouges', '1 petit oignon', '10 cL coulis de tomates', '  herbes aromatiques', '  huile d’olive', '  fromage râpé']"
"Pâtes à la sauce tomates, chou-fleur et lentilles corail.html","['400 g chou-fleur', '250 g pâtes', '20 cL coulis de tomates', '75 g lentilles corail', '  thym', '  huile(s) végétale(s)']"
"Quesadillas à la patate douce et haricots rouges, guacamole.html","['6  galette(s) de blé', '400 g patate douce', '250 g haricots rouges', '1  oignon rouge', '1  salade verte', '1 à 2  avocat(s)', '1  citron vert', '1 sachet(s) fromage râpé', '  épices', '  coriandre', '  huile d’olive']"
Quiche aux asperges (pour bébé et toute la famille).html,"['1  pâte feuilletée', '1 botte(s) asperge(s)', '180 g petits pois', '3  oeuf(s)', '80 g feta', '150 mL lait', '  herbes aromatiques', '  huile(s) végétale(s)']"
Quiche aux courgettes et fromage de chèvre.html,"['1  pâte brisée', '400 g courgette(s)', '200 mL crème liquide', '200 mL lait', '3  oeuf(s)', '100 g fromage de chèvre', '1  salade verte', '1 pincée muscade moulue', '  sel, poivre']"
Quiche aux petits pois.html,"['1  pâte brisée', '200 g petits pois', '1  salade verte', '200 mL lait', '200 mL crème liquide', '3  oeuf(s)', '50 g emmental râpé', '2 pincée(s) muscade moulue', '  sel, poivre']"
Quinoa buddha bowl (pour bébé et toute la famille).html,"['300 g chair de courge', '150 g quinoa', '1  avocat', '½  mangue', '2 poignée(s) pousses d’épinards', '150 g pois chiches', '½  citron', '1 c. à café cumin', '2 c. à soupe graines de sésame', '1 bouquet coriandre', '1 c. à soupe huile d’olive']"
Quinoa chili.html,"['100 g quinoa', '250 g haricots rouges', '150 g maïs', '400 g tomates concassées', '1  oignon(s)', ""  huile d'olive"", '  cumin', '  coriandre']"
Quinoa printanier.html,"['150 g quinoa', '250 g carotte(s)', '½  concombre', '1 poignée raisins secs', '1 bouquet menthe', '1  citron(s)', '  huile(s) végétale(s)']"
Ratatouille (pour bébé et toute la famille).html,"['4  courgette(s)', '2  aubergine(s)', '2  poivron(s)', '6  tomate(s)', '2  oignon(s)', '2 c. à soupe huile d’olive', '1  feuille(s) de laurier', '1 branche(s) thym']"
Ratatouille et ses petits grains de blé.html,"['2  courgette(s)', '3  tomate(s)', '1  aubergine(s)', '1  poivron(s) rouge(s)', '1  oignon(s)', ""  huile d'olive"", '1  feuille(s) de laurier', '2 branche(s) thym', '150 g blé']"
Risotto au fromage de chèvre et potimarron.html,"['150 g riz pour risotto', '150 g potimarron', '1 L bouillon de légumes', '½  oignon(s)', '30 g fromage de chèvre', '1 c. à soupe huile(s) végétale(s)', '  persil']"
"Risotto au potimarron, comté et romarin (pour bébé et toute la famille).html","['½  potimarron', '150 g riz pour risotto', '50 g comté', '1  oignon(s)', '2 c. à soupe huile d’olive', '3 branche(s) romarin', '1  bouillon cube de légumes', '  sel, poivre']"
Risotto aux asperges et parmesan.html,"['1 botte asperge(s) verte(s)', '150 g riz pour risotto', '1  oignon(s)', '50 g parmesan', '1 cube(s) bouillon cube de légumes']"
Risotto aux champignons.html,"['1 L bouillon de légumes', '400 g champignons', '250 g riz pour risotto', '25 cL crème fraîche', '50 g parmesan', '20 g beurre', ""1 c. à soupe huile d'olive"", '2  échalote(s)', '1 gousse(s) ail', '  persil']"
Risotto aux poireaux et parmesan.html,"['3  poireau(x)', '150 g riz pour risotto', '50 g parmesan', '1 cube(s) bouillon cube de légumes', '  huile d’olive', '  poivre']"
"Risotto courgettes, petits pois et menthe (pour bébé et toute la famille).html","['150 g riz pour risotto', '500 g courgette(s)', '150 g petits pois', '1  oignon(s)', '  menthe', '  huile d’olive', '  sel, poivre']"
Risotto de carottes à l’orange.html,"['300 g carotte(s)', '150 g riz pour risotto', '1  oignon(s)', '1  orange(s)', '  herbes aromatiques', ""2 c. à soupe huile d'olive""]"
Risotto de champignons et courge butternut.html,"['50 cL bouillon de légumes', '½  butternut', '250 g champignons de Paris', '150 g riz pour risotto', '30 g parmesan', '1  oignon(s)', ""1 c. à soupe huile d'olive"", '1 pincée(s) thym', '  coriandre', '  sel, poivre']"
Risotto de courgettes au curry.html,"['150 g riz pour risotto', '50 cL bouillon de légumes', '2  courgette(s)', '20 cL lait de coco', '2  échalote(s)', ""1 c. à soupe huile d'olive"", '1 c. à café curry', '  parmesan']"
Risotto de céleri et châtaignes (pour bébé et toute la famille).html,"['½  céleri-rave', '150 g châtaignes', '20 cL crème', '50 g parmesan', '  mâche', '1 c. à café moutarde douce', '2 c. à soupe vinaigre', '3 c. à soupe huile(s) végétale(s)', '  sel, poivre']"
Risotto à la betterave (pour bébé et toute la famille).html,"['150 g riz pour risotto', '500 g betterave(s)', '1  oignon(s)', '½  bûche de fromage de chèvre', '2 c. à soupe huile d’olive', '5 brin(s) ciboulette', '  sel, poivre']"
Risotto à la courge butternut et au chou kale.html,"['300 g butternut', '210 g riz pour risotto', '150 g chou kale', '1  oignon', '1 L bouillon de légumes', '30 g parmesan', '20 g noix', '1 c. à soupe huile d’olive']"
Riz aux légumes d’été.html,"['1  courgette(s)', '1  poivron(s)', '2  tomate(s)', '1  oignon(s)', '150 g riz', '2 feuilles basilic', ""  huile d'olive""]"
Riz aux petits légumes.html,"['150 g riz', '200 g petits pois', '280 g carotte(s)', '250 g navet(s)', '  huile(s) végétale(s)', '  herbes aromatiques']"
Riz aux poireaux et champignons.html,"['3  poireau(x)', '250 g champignons', '150 g riz', '  huile d’olive', '  sauce soja']"
Riz cajun aux haricots rouges.html,"['1 boîte tomates concassées', '150 g riz', '1  poivron(s) vert(s)', '1  oignon(s)', '1 gousse(s) ail', '40 cL bouillon de légumes', '250 g haricots rouges', '1 c. à soupe huile(s) végétale(s)', '½ c. à café paprika', '½ c. à café cumin', '½ c. à café origan', '  persil']"
Riz cantonais végétarien (pour bébé et toute la famille).html,"['100 g riz', '150 g petits pois', '250 g carotte(s)', '100 g maïs', '2  oeuf(s)', '2  échalote(s)', '1 c. à café coriandre', '1 c. à soupe sauce soja', '2 c. à soupe huile d’olive']"
Riz crémeux aux poireaux et champignons.html,"['2  poireau(x)', '200 g riz', '100 g champignons de Paris', '100 g crème fraîche', '1  oignon(s)', '1 c. à soupe moutarde douce', ""1 filet huile d'olive"", '  sel, poivre']"
Riz et boulettes de haricots blancs aux légumes.html,"['200 g champignons', '100 g carotte(s)', '200 g haricots blancs', '150 g riz', ""50 g flocons d'avoine"", '20 cL coulis de tomates', '  herbes aromatiques']"
Riz et champignons à la crème.html,"['500 g champignons', '150 g riz', '1  oignon', '1 gousse ail', '  persil', '10 cL crème', '1 c. à soupe huile d’olive']"
"Riz sauté au chou chinois, champignons, carotte et sésame.html","['150 g riz', '¼  chou chinois', '125 g champignons', '150 g carotte(s)', '  graines de sésame', '  gingembre', '  coriandre', '  sauce soja', '  huile d’olive']"
Riz sauté aux petits légumes.html,"['150 g riz', '100 g petits pois', '2  carotte(s)', '1  oignon(s)', '50 g champignons', '2 c. à soupe sauce soja', '1 c. à soupe huile(s) végétale(s)']"
Rougail saucisses (pour bébé et toute la famille).html,"['2  saucisses fumées', '250 g carotte(s)', '400 g tomates pelées', '1  oignon(s)', '2 gousse(s) ail', '1 cm gingembre', '1  feuille(s) de laurier', '1 branche(s) thym', '½ c. à café curcuma', '½ c. à café piment', '2 c. à soupe huile d’olive']"
Rouleaux de printemps (pour bébé et toute la famille).html,"['8 à 16  feuilles de riz', '8 feuille(s) salade verte', '250 g carotte(s)', '1  concombre', '1  avocat(s)', '100 g vermicelles de riz', '50 g cacahuètes', '1 bouquet menthe', '  huile(s) végétale(s)']"
Roulés de dinde farcis aux marrons et purée de potimarron patate douce (Recette de Noël).html,"['2  escalope(s) de dinde', '50 g champignons de Paris', '50 g châtaignes', '1  échalote(s)', ""1 c. à soupe huile d'olive"", '  persil', '1  patate(s) douce(s)', '½  potimarron', '2 c. à soupe huile de colza']"
"Röstis de pomme de terre, salade de pousses d’épinards.html","['500 g pomme(s) de terre', '1  oeuf(s)', '1  oignon(s)', '2 c. à soupe farine', ""125 g pousses d'épinards"", ""  huile d'olive"", '  poivre', '1 c. à café moutarde douce', '2 c. à soupe vinaigre', '6 c. à soupe huile(s) végétale(s)']"
Röstis de topinambour et courge aux épices (pour bébé et toute la famille).html,"['300 g topinambour(s)', '300 g pomme(s) de terre', '500 g courge', '1  oignon(s)', '1  oeuf(s)', '25 g fécule de maïs', '1  citron(s)', '2 branches persil', '2 c. à soupe huile d’olive', '  épices au choix']"
Salade complète aux haricots verts  (pour bébé et toute la famille).html,"['400 g haricots verts', '3 à 4  tomates', '400 g pomme(s) de terre', '140 g maïs', '2  oeuf(s)', '2 c. à soupe huile de colza', '5 brin(s) ciboulette', '  citron']"
"Salade de betterave, pois chiches, chèvre et noix.html","['500 g betterave(s)', '1  salade verte', '125 g pois chiches', '1 poignée noix', '½  bûche de fromage de chèvre', '1  pain', '  huile(s) végétale(s)']"
"Salade de betteraves, quinoa, orange et feta.html","['350 g betterave(s)', '150 g quinoa', '100 g feta', '2  orange(s)', '1 c. à soupe huile(s) végétale(s)']"
Salade de lentilles aux légumes racines et noisettes.html,"['250 g céleri-rave', '250 g carotte(s)', '150 g panais', '150 g navet(s)', '150 g lentilles vertes', '1 poignée noisettes', '  huile(s) végétale(s)']"
Salade de lentilles corail au chou kale.html,"['150 g chou kale', '150 g lentilles corail', '1  avocat(s)', '60 g feta', '30 g noix de pécan', '2 c. à soupe huile d’olive', '½  citron vert']"
Salade de quinoa à la grecque.html,"['100 g quinoa', '1  concombre', '200 g tomates cerises', '200 g feta', '100 g pois chiches', '100 g yaourt grec', '1  oignon(s) rouge(s)', '½  citron(s)', '  sel, poivre']"
"Salade de quinoa, courgette, petit pois et menthe.html","['300 g courgette(s)', '150 g petits pois', '100 g quinoa', '  menthe', '  huile(s) végétale(s)']"
Salade de riz à la grecque.html,"['100 g riz', '250 g tomates cerises', '1  concombre', '150 g olives', '100 g feta', '½  oignon(s) rouge(s)', '  origan', '  huile d’olive']"
Salade de riz à la niçoise (pour bébé et toute la famille).html,"['100 g riz', '3  tomate(s)', '1  poivron(s) vert(s)', '1  concombre', '100 g févettes écossées', '1 poignée(s) olives noires', '2  oignon(s) nouveau(x)', '1 gousse(s) ail', '  thon', '  basilic', '  huile d’olive']"
"Salade de riz, avocat, tomates cerises et mozzarella.html","['250 g tomates cerises', '1  avocat', '1  mozzarella', '125 g riz', '1  citron', '  basilic', '  huile(s) végétale(s)']"
"Salade de riz, endive, maïs, bleu et noix.html","['150 g riz', '250 g endive(s)', '125 g maïs', '50 g fromage bleu', '1 poignée noix', '  ciboulette', '  vinaigrette']"
"Salade de tomates, pêche, melon et burrata.html","['½  melon', '250 g tomates cerises', '100 g salade verte', '2  burrata', '1  pêche(s) jaune(s)', ""2 c. à soupe huile d'olive"", '1 c. à soupe vinaigre balsamique', '  basilic', '  sel, poivre']"
"Salade d’endive, maïs, pomme, chèvre et noix.html","['5  endive(s)', '2  pomme(s)', '140 g maïs', '½  bûche de fromage de chèvre', '1 poignée noix', '1 c. à soupe huile de noix', '1 c. à soupe vinaigre de pomme']"
"Salade d’endives, poire, bleu et noix (pour bébé et toute la famille).html","['5  endive(s)', '2  poire(s)', '60 g fromage bleu', '60 g noix', '2 c. à soupe huile de noix']"
Salade estivale au melon.html,"['1  melon', '1  concombre', '300 g tomates cerises', '1  mozzarella', '3 feuilles basilic', '2 c. à soupe huile(s) végétale(s)', '1  pain']"
Sandwich aux boulettes de chou-fleur et lentilles.html,"['½  chou-fleur', '40 g lentilles corail', '150 g carotte(s)', '100 g farine', '3 c. à soupe huile d’olive', '  curry', '  mâche', '  fromage de chèvre']"
Saumon grillé et purée de chou blanc (pour bébé et toute la famille).html,"['2 pavé(s) saumon', '500 g chou blanc', '250 g pomme(s) de terre', '1  carotte(s)', '1 gousse(s) ail', '½  citron', '100 g fromage blanc', '2 c. à soupe huile(s) végétale(s)', '1 c. à soupe vinaigre blanc', '1 c. à soupe graines de sésame', '2 pincée(s) aneth']"
"Soupe au potiron, maïs, carotte et orange.html","['300 g carotte(s)', '400 g potiron', '150 g maïs', '1  orange', '1 c. à soupe huile(s) végétale(s)']"
Soupe aux légumes d’automne.html,"['150 g potimarron', '100 g carotte(s)', '100 g pomme(s) de terre', '½  oignon(s)', '40 g lait de coco', '1 c. à soupe huile(s) végétale(s)', '1 pincée(s) paprika', '  persil']"
